"KoordID";"x";"y";"occ"
"228";653214;653000;214000;0
"229";653230;653000;230000;0
"230";653246;653000;246000;0
"231";653254;653000;254000;0
"232";653262;653000;262000;0
"233";659142;659000;142000;1
"234";659174;659000;174000;0
"235";659190;659000;190000;0
"236";659206;659000;206000;0
"237";659222;659000;222000;0
"238";659238;659000;238000;0
"239";659254;659000;254000;0
"240";659270;659000;270000;0
"241";665150;665000;150000;0
"242";665166;665000;166000;0
"243";665182;665000;182000;1
"244";665198;665000;198000;0
"245";665214;665000;214000;0
"246";665230;665000;230000;0
"247";665246;665000;246000;0
"248";665262;665000;262000;0
"249";671158;671000;158000;1
"250";671174;671000;174000;1
"251";671190;671000;190000;0
"252";671206;671000;206000;0
"253";671222;671000;222000;0
"254";671238;671000;238000;0
"255";671254;671000;254000;0
"256";677126;677000;126000;1
"257";677166;677000;166000;1
"258";677182;677000;182000;1
"259";677198;677000;198000;0
"260";677214;677000;214000;0
"261";677230;677000;230000;0
"262";677246;677000;246000;0
"263";677262;677000;262000;0
"264";677278;677000;278000;0
"265";683126;683000;126000;0
"266";683134;683000;134000;0
"267";683142;683000;142000;1
"268";683150;683000;150000;1
"269";683158;683000;158000;1
"270";683174;683000;174000;1
"271";683190;683000;190000;1
"272";683206;683000;206000;0
"273";683222;683000;222000;0
"274";683238;683000;238000;0
"275";683254;683000;254000;0
"276";683270;683000;270000;0
"277";683286;683000;286000;0
"278";689126;689000;126000;1
"279";689134;689000;134000;0
"280";689142;689000;142000;1
"281";689150;689000;150000;1
"282";689158;689000;158000;1
"283";689166;689000;166000;1
"284";689182;689000;182000;1
"285";689198;689000;198000;0
"286";689214;689000;214000;0
"287";689230;689000;230000;0
"288";689246;689000;246000;0
"289";689262;689000;262000;0
"290";689278;689000;278000;0
"291";695110;695000;110000;1
"292";695118;695000;118000;0
"293";695126;695000;126000;0
"294";695142;695000;142000;1
"295";695150;695000;150000;0
"296";695158;695000;158000;1
"297";695174;695000;174000;1
"298";695190;695000;190000;0
"299";695206;695000;206000;0
"300";695222;695000;222000;0
"301";695238;695000;238000;0
"302";695254;695000;254000;0
"303";695270;695000;270000;0
"304";695286;695000;286000;0
"305";701118;701000;118000;0
"306";701126;701000;126000;1
"307";701134;701000;134000;0
"308";701142;701000;142000;1
"309";701150;701000;150000;0
"310";701158;701000;158000;1
"311";701166;701000;166000;1
"312";701182;701000;182000;1
"313";701198;701000;198000;1
"314";701214;701000;214000;1
"315";701230;701000;230000;0
"316";701246;701000;246000;0
"317";701262;701000;262000;0
"318";701278;701000;278000;0
"319";707094;707000;94000;0
"320";707110;707000;110000;0
"321";707118;707000;118000;0
"322";707134;707000;134000;1
"323";707142;707000;142000;0
"324";707150;707000;150000;1
"325";707158;707000;158000;1
"326";707174;707000;174000;1
"327";707190;707000;190000;1
"328";707206;707000;206000;1
"329";707222;707000;222000;0
"330";707238;707000;238000;0
"331";707254;707000;254000;0
"332";707270;707000;270000;0
"333";713094;713000;94000;0
"334";713102;713000;102000;0
"335";713110;713000;110000;0
"336";713118;713000;118000;0
"337";713126;713000;126000;1
"338";713134;713000;134000;0
"339";713142;713000;142000;1
"340";713150;713000;150000;1
"341";713158;713000;158000;1
"342";713166;713000;166000;1
"343";713182;713000;182000;1
"344";713198;713000;198000;1
"345";713214;713000;214000;0
"346";713230;713000;230000;0
"347";713246;713000;246000;0
"348";713262;713000;262000;0
"349";713278;713000;278000;0
"350";719078;719000;78000;0
"351";719086;719000;86000;0
"352";719094;719000;94000;0
"353";719102;719000;102000;0
"354";719110;719000;110000;0
"355";719118;719000;118000;0
"356";719126;719000;126000;0
"357";719134;719000;134000;0
"358";719142;719000;142000;0
"359";719150;719000;150000;1
"360";719158;719000;158000;1
"361";719174;719000;174000;1
"362";719190;719000;190000;1
"363";719206;719000;206000;1
"364";719222;719000;222000;0
"365";719238;719000;238000;0
"366";719254;719000;254000;0
"367";719270;719000;270000;0
"368";725086;725000;86000;0
"369";725102;725000;102000;0
"370";725110;725000;110000;1
"371";725118;725000;118000;0
"372";725126;725000;126000;1
"373";725134;725000;134000;1
"374";725142;725000;142000;0
"375";725150;725000;150000;1
"376";725166;725000;166000;1
"377";725182;725000;182000;0
"378";725198;725000;198000;1
"379";725214;725000;214000;1
"380";725230;725000;230000;1
"381";725246;725000;246000;0
"382";725262;725000;262000;0
"383";725278;725000;278000;0
"384";731118;731000;118000;0
"385";731126;731000;126000;0
"386";731134;731000;134000;1
"387";731158;731000;158000;1
"388";731174;731000;174000;0
"389";731190;731000;190000;1
"390";731206;731000;206000;0
"391";731222;731000;222000;1
"392";731238;731000;238000;0
"393";731254;731000;254000;0
"394";731270;731000;270000;0
"395";737134;737000;134000;0
"396";737142;737000;142000;0
"397";737150;737000;150000;0
"398";737166;737000;166000;1
"399";737182;737000;182000;0
"400";737198;737000;198000;1
"401";737214;737000;214000;1
"402";737230;737000;230000;1
"403";737246;737000;246000;0
"404";737262;737000;262000;0
"405";743158;743000;158000;1
"406";743174;743000;174000;1
"407";743190;743000;190000;1
"408";743206;743000;206000;0
"409";743222;743000;222000;1
"410";743238;743000;238000;1
"411";743254;743000;254000;0
"412";743270;743000;270000;0
"413";749150;749000;150000;1
"414";749166;749000;166000;1
"415";749182;749000;182000;0
"416";749198;749000;198000;1
"417";749214;749000;214000;0
"418";749230;749000;230000;0
"419";749246;749000;246000;0
"420";749262;749000;262000;0
"421";755142;755000;142000;1
"422";755158;755000;158000;1
"423";755174;755000;174000;0
"424";755190;755000;190000;0
"425";755206;755000;206000;0
"426";755222;755000;222000;0
"427";755238;755000;238000;1
"428";755254;755000;254000;0
"429";761134;761000;134000;0
"430";761150;761000;150000;1
"431";761166;761000;166000;0
"432";761182;761000;182000;0
"433";761198;761000;198000;0
"434";761246;761000;246000;0
"435";767134;767000;134000;0
"436";767142;767000;142000;1
"437";767158;767000;158000;0
"438";767174;767000;174000;1
"439";767190;767000;190000;0
"440";767206;767000;206000;0
"441";773134;773000;134000;1
"442";773150;773000;150000;1
