"KoordID","x","y","Anthus.spinoletta","Milvus.migrans","Turdus.torquatus","Sylvia.borin","Hirundo.rustica","Passer.montanus","Motacilla.cinerea","Emberiza.citrinella","Certhia.brachydactyla","Picus.viridis","Aegithalos.caudatus","Pica.pica","Dryocopus.martius","Muscicapa.striata","Sturnus.vulgaris","Passer.domesticus","Parus.montanus","Carduelis.carduelis","Nucifraga.caryocatactes","Cuculus.canorus","Pyrrhula.pyrrhula","Serinus.serinus","Carduelis.cannabina","Turdus.pilaris","Falco.tinnunculus","Loxia.curvirostra","Carduelis.chloris","Corvus.corax","Anthus.trivialis","Milvus.milvus"
557150,557000,150000,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0
557166,557000,166000,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1
557182,557000,182000,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1
557206,557000,206000,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0
557214,557000,214000,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0
557222,557000,222000,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1
563110,563000,110000,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
563126,563000,126000,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
563142,563000,142000,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0
563158,563000,158000,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0
